Year,Region,Characteristic,Age,Sex,Result
2016,SA,Daily,20 to 29,Persons,13.3
2010,VIC,Daily,40 to 49,Persons,18.2
2013,NSW,Daily,18 to 24,Persons,10.7
2010,Tas,Daily,50 to 59,Persons,18.2
2010,Tas,Daily,35 to 44,Persons,23.2
2016,NT,Daily,35 to 44,Persons,18.5
2016,Australia,Daily,55 to 64,Persons,13.4
2010,VIC,Daily,12 to 17,Persons,3.7
2013,NSW,Daily,30 to 39,Persons,13.4
2016,ACT,Daily,65 to 74,Persons,5.9
2016,ACT,Daily,30 to 39,Persons,8.3
2010,NSW,Daily,14 to 19,Persons,6.5
